Assuming rdf:type as type relation
Loading files... 
  Starting graph_dump.tsv
  Finished graph_dump.tsv, still running: 0
Loaded 2250197 facts in 16 s using 1246 MB
Using Support as pruning metric with minimum threshold 2.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
Filtering on standard confidence with minimum threshold 0.01
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  associates  ?b   => ?a  upregulates  ?b	0.001302932	0.012833716	0.0136859	162	12623	11837	?b
?a  expresses  ?b   => ?a  upregulates  ?b	0.681626252	0.160997099	0.165493082	84750	526407	512106	?b
?a  expresses  ?b   => ?a  downregulates  ?b	0.411682511	0.10242265	0.106881821	53916	526407	504445	?b
?b  regulates  ?a   => ?a  regulates  ?b	0.012714927	0.012714927	0.0170871	3378	265672	197693	?b
?a  upregulates  ?b   => ?a  expresses  ?b	0.160997099	0.681626252	0.683776544	84750	124335	123944	?b
?a  downregulates  ?b   => ?a  expresses  ?b	0.10242265	0.411682511	0.412706675	53916	130965	130640	?b
?a  palliates  ?f  ?b  resembles  ?f   => ?a  palliates  ?b	0.228205128	0.099109131	0.099109131	89	898	898	?a
?a  palliates  ?f  ?f  resembles  ?b   => ?a  palliates  ?b	0.235897436	0.105747126	0.105747126	92	870	870	?a
?a  includes  ?f  ?b  resembles  ?f   => ?a  includes  ?b	0.346938776	0.151271186	0.315092674	357	2360	1133	?b
?a  includes  ?e  ?e  resembles  ?b   => ?a  includes  ?b	0.351797862	0.163875057	0.312338223	362	2209	1159	?b
?f  palliates  ?b  ?a  resembles  ?f   => ?a  palliates  ?b	0.338461538	0.080097087	0.279069767	132	1648	473	?a
?e  palliates  ?b  ?e  resembles  ?a   => ?a  palliates  ?b	0.317948718	0.067982456	0.227106227	124	1824	546	?a
?b  resembles  ?f  ?a  treats  ?f   => ?a  treats  ?b	0.290066225	0.105643994	0.105643994	219	2073	2073	?a
?f  resembles  ?b  ?a  treats  ?f   => ?a  treats  ?b	0.294039735	0.113904566	0.113904566	222	1949	1949	?a
?a  palliates  ?f  ?b  resembles  ?f   => ?a  treats  ?b	0.018543046	0.0155902	0.04778157	14	898	293	?a
?a  palliates  ?f  ?f  resembles  ?b   => ?a  treats  ?b	0.017218543	0.014942529	0.037681159	13	870	345	?a
?f  palliates  ?b  ?a  resembles  ?f   => ?a  treats  ?b	0.022516556	0.010315534	0.054487179	17	1648	312	?a
?a  resembles  ?f  ?f  treats  ?b   => ?a  treats  ?b	0.353642384	0.165530068	0.417840376	267	1613	639	?a
?e  resembles  ?a  ?e  treats  ?b   => ?a  treats  ?b	0.358940397	0.142706688	0.356110381	271	1899	761	?a
?b  associates  ?f  ?a  binds  ?f   => ?a  treats  ?b	0.614569536	0.016873954	0.049488055	464	27498	9376	?a
?f  presents  ?b  ?a  resembles  ?f   => ?a  presents  ?b	0.541257075	0.235851506	0.235851506	1817	7704	7704	?b
?b  associates  ?f  ?a  upregulates  ?f   => ?a  treats  ?b	0.362913907	0.013319074	0.041692027	274	20572	6572	?a
?b  associates  ?f  ?a  downregulates  ?f   => ?a  treats  ?b	0.339072848	0.01411635	0.043858146	256	18135	5837	?a
?e  presents  ?b  ?e  resembles  ?a   => ?a  presents  ?b	0.54512958	0.204492122	0.204492122	1830	8949	8949	?b
?f  localizes  ?b  ?a  resembles  ?f   => ?a  localizes  ?b	0.591060522	0.211504073	0.211504073	2129	10066	10066	?b
?e  localizes  ?b  ?e  resembles  ?a   => ?a  localizes  ?b	0.583287063	0.18650688	0.18650688	2101	11265	11265	?b
?a  treats  ?f  ?b  treats  ?f   => ?a  resembles  ?b	0.054204012	0.026780066	0.03969577	381	14227	9598	?b
?b  palliates  ?f  ?a  treats  ?f   => ?a  resembles  ?b	0.003556694	0.010351967	0.012800819	25	2415	1953	?b
?a  palliates  ?f  ?b  palliates  ?f   => ?a  resembles  ?b	0.028026746	0.037964926	0.051624738	197	5189	3816	?b
?a  presents  ?f  ?b  presents  ?f   => ?a  resembles  ?b	0.07582871	0.046440708	0.056738344	533	11477	9394	?b
