neo4j_id,label,name,identifier,new_id
0,Molecular_Function,endothelial differentiation G-protein coupled receptor binding,GO:0031753,0
1,Molecular_Function,U1 snRNA binding,GO:0030619,1
2,Molecular_Function,3-hydroxyacyl-CoA dehydratase activity,GO:0018812,2
3,Molecular_Function,phosphatase inhibitor activity,GO:0019212,3
4,Molecular_Function,propionyl-CoA carboxylase activity,GO:0004658,4
5,Molecular_Function,Pyrin domain binding,GO:0032090,5
6,Molecular_Function,methylcytosine dioxygenase activity,GO:0070579,6
7,Molecular_Function,vitamin transporter activity,GO:0051183,7
8,Molecular_Function,pyrimidine-specific mismatch base pair DNA N-glycosylase activity,GO:0008263,8
9,Molecular_Function,potassium-transporting ATPase activity,GO:0008556,9
10,Molecular_Function,prostanoid receptor activity,GO:0004954,10
11,Molecular_Function,dinucleotide repeat insertion binding,GO:0032181,11
12,Molecular_Function,single-stranded DNA 3'-5' exodeoxyribonuclease activity,GO:0008310,12
13,Molecular_Function,actin filament binding,GO:0051015,13
14,Molecular_Function,copper chaperone activity,GO:0016531,14
15,Molecular_Function,nucleoside-triphosphatase activity,GO:0017111,15
16,Molecular_Function,extracellular matrix constituent conferring elasticity,GO:0030023,16
17,Molecular_Function,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,GO:0008124,17
18,Molecular_Function,delayed rectifier potassium channel activity,GO:0005251,18
19,Molecular_Function,oxidoreductase activity,GO:0016491,19
20,Molecular_Function,prostaglandin-endoperoxide synthase activity,GO:0004666,20
21,Molecular_Function,cyclase activity,GO:0009975,21
22,Molecular_Function,G-protein coupled receptor activity,GO:0004930,22
23,Molecular_Function,death receptor binding,GO:0005123,23
24,Molecular_Function,peptide alpha-N-acetyltransferase activity,GO:0004596,24
25,Molecular_Function,inositol hexakisphosphate 5-kinase activity,GO:0000832,25
26,Molecular_Function,Atg8 ligase activity,GO:0019776,26
27,Molecular_Function,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",GO:0016628,27
28,Molecular_Function,lipopolysaccharide receptor activity,GO:0001875,28
29,Molecular_Function,sodium channel regulator activity,GO:0017080,29
30,Molecular_Function,fructokinase activity,GO:0008865,30
31,Molecular_Function,calcium-dependent phospholipid binding,GO:0005544,31
32,Molecular_Function,interferon-gamma receptor binding,GO:0005133,32
33,Molecular_Function,"oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",GO:0016634,33
34,Molecular_Function,"peptidase activity, acting on L-amino acid peptides",GO:0070011,34
35,Molecular_Function,"oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor",GO:0016672,35
36,Molecular_Function,L-lysine transmembrane transporter activity,GO:0015189,36
37,Molecular_Function,isoleucine-tRNA ligase activity,GO:0004822,37
38,Molecular_Function,pattern recognition receptor activity,GO:0038187,38
39,Molecular_Function,ethanolaminephosphotransferase activity,GO:0004307,39
40,Molecular_Function,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",GO:0071886,40
41,Molecular_Function,quaternary ammonium group binding,GO:0050997,41
42,Molecular_Function,monosaccharide transmembrane transporter activity,GO:0015145,42
43,Molecular_Function,prenylcysteine oxidase activity,GO:0001735,43
44,Molecular_Function,11-cis retinal binding,GO:0005502,44
45,Molecular_Function,flavin-linked sulfhydryl oxidase activity,GO:0016971,45
46,Molecular_Function,neurotrophin TRK receptor binding,GO:0005167,46
47,Molecular_Function,siRNA binding,GO:0035197,47
48,Molecular_Function,"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor",GO:0016901,48
